CODE_ISIN,CODE_LANGUE
FR0010321802,EN
FR0000292278,EN
FR0013473568,EN
FR001400LRT0,EN
IE00BK017F69,EN
LU0235308482,EN
LU0278453476,EN
LU0063729296,EN
LU0319688791,EN
LU1161527038,EN
FR0010697482,EN
FR0013030061,EN
LU1103207525,EN
LU0238205289,EN
LU0251130802,EN
LU0107852195,EN
LU0194732953,EN
LU0210533500,EN
LU0289470113,EN
LU0853555463,EN
LU0853555380,EN
FR0010750877,EN
LU1137258932,EN
LU0538387076,EN
LU1023727867,EN
LU0979137147,EN
LU1115951946,EN
LU1023728758,EN
LU0132601682,EN
FR0000003196,EN
IE00BYV1RN13,EN
LU0075938133,EN
BE0943877671,EN
IE00B11XZ988,EN
IE00B4LXFK01,EN
LU0106258311,EN
LU0152980495,EN
FR0010460493,EN
LU0122614208,EN
LU0569862351,EN
FR0007076971,EN
LU0224105477,EN
LU0212925753,EN
LU0122379950,EN
LU0171310443,EN
LU0562822386,EN
LU0278466700,EN
LU0072462426,EN
LU0217402501,EN
FR0011550185,EN
LU1664648208,EN
IE00B4Z6HC18,EN
LU0132412106,EN
LU0011963245,EN
LU0476876759,EN
LU0498184596,EN
LU0011963674,EN
LU0396314238,EN
FR0010321810,EN
LU0572586591,EN
LU0256839274,EN
LU0857590862,EN
FR0000017329,EN
LU0236501697,EN
FR0010188383,EN
LU0945155991,EN
LU0119085271,EN
LU0319685854,EN
LU0568607203,EN
LU0347592197,EN
LU0557858130,EN
LU0389811372,EN
LU0442407853,EN
LU0433182416,EN
LU0565135745,EN
LU0390717543,EN
LU0568583008,EN
LU0568583933,EN
LU0557866588,EN
LU0201575346,EN
LU0755949848,EN
FR0013123809,EN
FR0010267476,EN
LU0184627536,EN
LU0316218527,EN
LU0072462186,EN
FR0010174144,EN
LU0238690555,EN
LU0171301533,EN
LU0124384867,EN
LU0171307068,EN
LU0589470326,EN
LU0171289902,EN
LU0255977455,EN
FR0010668145,EN
LU1279613951,EN
FR0013073731,EN
LU0272941971,EN
LU1073905967,EN
LU1295552621,EN
FR0010149120,EN
FR0010149179,EN
LU0318931192,EN
IE0004766675,EN
FR0010097667,EN
LU1291158233,EN
FR0010836163,EN
FR0010917658,EN
LU0108459040,EN
FR0007054358,EN
FR0010058008,EN
LU1481483334,EN
LU0641745681,EN
LU0284396016,EN
FR0011645621,EN
FR0000444275,EN
LU0357130854,EN
FR0010859769,EN
FR0010321828,EN
LU0332315638,EN
LU1244893696,EN
FR0013219243,EN
LU0992632538,EN
LU1102960371,EN
FR0013197605,EN
FR0013210887,EN
FR0010177998,EN
LU0690375182,EN
LU0238202427,EN
LU0251127410,EN
LU0261946445,EN
LU0594300179,EN
FR0000008674,EN
LU0922334643,EN
LU0261948227,EN
LU0261947096,EN
GB0033874214,EN
LU0260870158,EN
LU0122613655,EN
LU0251131958,EN
LU0261950470,EN
LU0048167497,EN
LU0231490524,EN
LU0566486402,EN
FR0011443233,EN
FR0011443001,EN
LU0070992663,EN
LU0572952280,EN
LU0046217351,EN
LU0127786431,EN
LU1093756242,EN
LU0503253931,EN
LU0119750205,EN
LU0028118809,EN
IE00B6R52143,EN
IE00B6R52036,EN
IE00B5BMR087,EN
LU0244270301,EN
LU0095938881,EN
LU0522352946,EN
LU0210529144,EN
LU0208853274,EN
LU0117841949,EN
LU0210527015,EN
LU0880062913,EN
LU0260085492,EN
FR0010320366,EN
IE00BYN5TY60,EN
FR0010315770,EN
FR0000448987,EN
IE00BKVBJH15,EN
LU0411704413,EN
FR0010156604,EN
LU1434526460,EN
FR0013515970,EN
FR0014008207,EN
FR0010148981,EN
FR0010147603,EN
FR0010135103,EN
LU0099161993,EN
FR0010032573,EN
FR0007450002,EN
LU1248400076,EN
FR0000984254,EN
FR0012300374,EN
LU1989765471,EN
FR0010097683,EN
